,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
86,Uvezivanje cjevovoda,Sutra veliki dio Sarajeva ponovo neće imati vode,Za sutra (22. septembar) od 8:00 sati planirani su završni radovi na uvezivanju dijela rekonstruisanog potisnog cjevovoda DN 500 mm za pravac pumpanja Alipašin most - Centar.,21.09.2021. u 09:00
87,Opet radovi,Veliki broj naselja u Sarajevu danas neće imati vode,KJKP Vodovod i kanalizacija Sarajevo saopćilo je da će zbog radova na uvezivanju dijela rekonstruisanog potisnog cijevovoda DN 500 mm za pravac pumpanja Alipašin most - Centar doći do prekida u vodosnabdijevanju jutros od 8:00 sati.,15.09.2021. u 08:43
88,Lokalne saobraćajnice,"Efendić potpisao ugovore, bit će sanirano 15 ulica u Novom Gradu","Načelnik Općine Novi Grad Sarajevo Semir Efendić potpisao je danas dva ugovora za izvođenje radova na sanaciji i rekonstrukciji 15 ulica na području općine Novi Grad Sarajevo, i projektovanje
nove distributivne vodovodne mreže u ulici Ferida Srnje u Švrakinom selu.",01.09.2021. u 16:22
89,Od večernjih sati,"Veliki dio Sarajeva sutra neće imati vode, ViK najavio nove radove",Za sutra (11. 8. 2021. godine) KJKP Vodovod i kanalizacija Sarajevo planiralo je radove na uvezivanju distributivnog cjevovoda profila DN 400 mm u sklopu projekta EBRD-a. Zbog toga će doći do prekida u vodosnabdijevanju u određenim naseljima.,10.08.2021. u 16:17
90,Sarajevo,"ViK tek iza ponoći konačno riješio veliki kvar, građani dobili vodu nakon više od 33 sata","Veliki broj stanovnika Sarajeva nakon skoro 33 sata dobio je vodu na slavinama, a nakon što je KJKP ViK u saradnji s izvođačem spojio cjevovod i otklonio kvar.",06.08.2021. u 07:17
91,Ne javljaju se građanima,"Veliki dio Sarajeva 24 sata bez vode, iz VIK-a kažu da su uočili novi kvar","Veliki dio građana Sarajeva je već 24 sata bez vode usljed radova na uvezivanju dijela rekonstruisanog potisnog cjevovoda na lokalitetu Bulevar Meša Selimović, a iz KJKP Vodovod i kanalizacija su kazali da je neočekivano došlo do novog kvara.",05.08.2021. u 18:19
92,Korisnici ogorčeni,"Veliki broj Sarajlija duže od 19 sati bez vode, ViK najavio normalizaciju za poslijepodne","KJKP Vodovod i kanalizacija Sarajevo obavještava korisnike da su radovi na uvezivanju dijela rekonstruisanog potisnog cjevovoda DN 700 mm na lokalitetu Bulevar Meše Selimovića, prema informacijama s terena, u završnoj fazi.",05.08.2021. u 13:15
93,Uvezivanje cjevovoda,"Veliki dio Sarajeva od jučer nema vode, radovi nisu završeni ni jutros","Radovi na uvezivanju dijela rekonstruisanog potisnog cjevovoda DN 700 mm na lokalitetu Bulevar Meše Selimovića još uvijek su u toku, a iz ViK-a kažu da se zbog složenosti i obimnosti poslova odvijaju otežano.",05.08.2021. u 08:05
94,Najavljeni radovi,Veliki dio Sarajeva od večeras do sutra neće imati vode,"Večeras od 18:00 sati i tokom cijele noći do sutra u Sarajevu su planirani radovi na uvezivanju dijela rekonstruisanog potisnog cjevovoda DN 700 mm, za pravac pumpanja Alipašin Most - Kobilja Glava.",04.08.2021. u 08:33
95,"""Odgovaramo argumentima""","Narod i pravda: Razlog za smjenu direktorice ViK-a je loš rad, optužbe iz SDA su tragikomične","Nakon što je Kantonalni odbor SDA Sarajevo uputio saopćenje u kojem su pozvali Tužilaštvo da ispita navode o korupciji stranke Narod i pravda unutar KJKP Vodovod i kanalizacija, oglasili su se i iz sarajevskog ogranka Naroda i pravde.",31.07.2021. u 22:16
96,Nakon tvrdnji direktorice,SDA Sarajevo traži da Tužilaštvo ispita navode o korupciji u ViK-u,"Kantonalni odbor SDA Sarajevo oglasio se povodom, kako su naveli, ""skandaloznih informacija koje je u javnost iznijela direktorica KJKP Vodovod i Kanalizacija Aida Pendek o pritiscima kojima je izložena od stranke Narod i pravda i njihovog ministra Hadžiahmetovića, da bi zaposlila članove i kadrove NiP-a"".",31.07.2021. u 10:49
97,Postoji li rješenje?,Najezda žohara u Sarajevu iako je izvršena dezinsekcija kanalizacione mreže,"Svake godine u ljetnom periodu građani Sarajeva susreću se s istim problemom, a to je najezda glodara i insekata. Posljednjih sedmica građani glavnog grada sve češće se žale na najezdu žohara.",29.06.2021. u 10:49
98,Zamijenjene pumpe,"Sarajevo: Za vodovod Bačevo izdvojeno pet miliona KM, vlast poručuje da više neće biti problema",Izvršena je rekonstrukcija Pumpne stanice za vodu u sarajevskom Bačevu vrijedna pet miliona KM. Kantonalna vlast uvjerava da više neće biti problema u vodosnabdijevanju s ove pumpne stanice.,20.04.2021. u 12:51
99,Susret u Sarajevu,Tokom posjete delegacije grada Konye dogovorena isporuka 10.000 pakovanja lijeka Favira,"Tokom posjete delegacije turskog grada Konya Sarajevu dogovorena je i isporuka 10.000 pakovanja turskog lijeka Favira koji se koristi za liječenje od koronavirusa, saopćili su iz Općine Novi Grad Sarajevo. Razgovarano je i o saradnji po drugim pitanjima.",05.04.2021. u 20:15
100,Sarajevo,Ministar Hadžiahmetović demantovao SDA: Konkurs u ViK-u je u potpunosti ispoštovan,Ministar u Vladi Kantona Sarajevo Enver Hadžiahmetović je negirao navod sarajevske SDA da je potpisao nezakonit ugovor na neodređeno vrijeme u preduzeću Vodovod i kanalizacija (ViK).,30.03.2021. u 14:13
101,Poruka opozicije,Sarajevska SDA: Neka ministar Hadžiahmetović raskine nezakonit ugovor u ViK-u,Kantonalni odbor Stranke demokratske akcije (KO SDA) u Sarajevu je pozvao kantonalnog ministra Envera Hadžiahmetovića da raskine ugovor u preduzeću Vodovod i kanalizacija (ViK) za koji tvrde da je nezakonit i na neodređeno vrijeme.,30.03.2021. u 11:26
102,Ekipa na terenu,"Sarajevo: Pukla glavna vodovodna cijev, poplavljena saobraćajnica na Alipašinom Polju",U sarajevskom naselju Alipašino Polje u ulici Bulevar Meše Selimovića pukla je glavna vodovodna cijev nakon čega je poplavilo cijelo to područje.,22.01.2021. u 16:16
103,Prečišćava se,"Voda na izvorištu Bosne zagađena, ali nije opasna u domaćinstvima Kantona Sarajevo","Analize vode sa samog izvorišta rijeke Bosne pokazale su da je ona zagađena, potvrdili su nadležni, no voda koju koriste domaćinstva u Kantonu Sarajevo je sigurna jer se prečišćava.",15.01.2021. u 17:19
104,Projekt od 50 miliona KM,Sarajevo: Postrojenje za prečišćavanje otpadnih voda Butile tek dobilo upotrebnu dozvolu,"Postrojenje za prečišćavanje otpadnih voda Butile u Sarajevu, koje je, nakon što je uništeno u ratu, obnovljeno 2016. godine, tek je sada dobilo upotrebnu dozvolu.",25.12.2020. u 14:32
105,Potvrđeno za Klix.ba,"Enver Hadžiahmetović je ponovo direktor ViK-a, ali i kandidat za ministra u novoj Vladi KS","Smijenjeni direktor Vodovoda i kanalizacije (ViK) u Sarajevu Enver Hadžiahmetović jučer se zvanično vratio na tu funkciju nakon odluke Općinskog suda. Osim toga, on bi mogao biti i novi ministar u Vladi KS na prijedlog stranke Narod i pravda.",19.12.2020. u 16:02
106,Problemi za građane,"Brojni stanovnici Istočnog Sarajeva danima bez vode, uzrok suša i kvarovi","Stanovnici povratničkog naselja Gornji Kotorac u Istočnom Sarajevu već danima se suočavaju sa nestašicom pitke vode. Kako navode, više puta su od nadležnih tražili da se ovaj problem riješi, ali nikada nisu dobili konkretan odgovor.",04.12.2020. u 20:38
107,Nositelj liste SDA,Nezir Hadžić: Uvjeren sam da ćemo živjeti u još boljem Novom Gradu,Nezir Hadžić je nositelj vijećničke liste Stranke demokratske akcije (SDA) u Općini Novi Grad Sarajevo na predstojećim lokalnim izborima. Tim povodom govorio je o svom dosadašnjem političkom radu i planovima ako ponovo bude izabran za vijećnika.,09.11.2020. u 15:32
108,Intervju,"Ministrica Nihada Glamoč: Dok neko skuplja političke poene, 150 komunalaca neće dobiti platu","Nihada Glamoč, ministrica komunalne privrede i infrastrukture Kantona Sarajevo, dala je opširan intervju za Klix.ba, kazavši da zajedno sa Vladom Kantona Sarajevo ne može pomoći komunalnim preduzećima jer su zbog moratorija blokirani.",08.11.2020. u 18:46
109,Oštra reakcija,NiP odgovorio Efendiću: Nezir Hadžić se pamti po redukcijama vode i nepotizmu,Iz Naroda i pravde (NiP) su reagovali na navode kandidata Stranke demokratske akcije (SDA) za načelnika Općine Novi Grad Sarajevo Semira Efendića da u glavnom gradu Bosne i Hercegovine nema redukcije vode zahvaljujući njegovom stranačkom kolegi i kandidatu za vijećnika Neziru Hadžiću.,02.11.2020. u 12:23
110,SDA u Novom Gradu,Efendić: Sarajevo danas nema redukcije vode zahvaljujući angažmanu Nezira Hadžića,"U Domu kulture u Švrakinom Selu u petak su predstavljeni kandidati Stranke demokratske akcije za Općinsko vijeće Novi Grad Sarajevo iz mjesnih zajednica Švrakino Selo, Aneks i Otoka, nosilac liste za Općinsko vijeće Nezir Hadžić i kandidat za načelnika Semir Efendić.",01.11.2020. u 19:01
111,Sarajevo,Sud naložio da se Enver Hadžiahmetović vrati na funkciju direktora VIK-a,Općinski sud u Sarajevu naložio je da se smijenjeni direktor Vodovda i kanalizacija u Sarajevu vrati na prijašnju funkciju u roku od tri dana i da mu se omogući nesmetano obavljanje poslova direktora na osnovu ugovora koji je sklopljen prije tačnu godinu dana.,28.10.2020. u 16:36
112,Kanton Sarajevo,Ogorčeni radnici ViK-a primorani vratiti se poslu nakon jutrošnje obustave rada,"Radnici sarajevskog preduzeća Vodovod i kanalizacija koji su jutros obustavili rad zbog dugogodišnjih problema i teških uslova rada, sastali su se s Upravnim odborom preduzeća, ali nikakav dogovor nisu postigli. Umjesto boljih uslova rada, primorani su vratiti se starim.",08.10.2020. u 13:43
113,18 ih ostaje bez posla,Radnici ViK-a obustavili rad: Godinama smo bez ugovora na neodređeno,"Desetine radnika preduzeća Vodovod i kanalizacija koji već godinama rade bez ugovora o radu na neodređeno, odbili su jutros izaći na teren. Kako poručuju, obustavljaju rad dok neko iz preduzeća ne odgovori njihovim zahtjevima.",08.10.2020. u 09:44
114,Danas odlučeno,Smijenjena uprava sarajevskog preduzeća ViK na čelu s direktorom Hadžiahmetovićem,"Uprava sarajevskog preduzeća Vodovod i kanalizacija (ViK) na čelu s direktorom Enverom Hadžiahmetovićem danas je smijenjena. Ovu informaciju nam je potvrdio Hadžiahmetović koji smatra da je smjena nezakonita, a već je poznat i njegov nasljednik.",25.09.2020. u 14:41
115,Čekaju se rezultati,Resorno ministarstvo o radijaciji na Stupu: Voda odmah data na analizu,"Iz Ministarstva prostornog uređenja, građenja i zaštite okoliša Kantona Sarajevo su poručili da su poduzeli potrebne aktivnosti na zaštiti zdravlja stanovništva, nakon što je iz entitetskog Centra za zaštitu od zračenja potvrđeno da je na lokalitetu Energoinvesta u sarajevskom naselju Stup došlo do curenja cezija-137, radioaktivne materije.",07.09.2020. u 15:37
116,Azra Muzur negoduje,Pobuna u SDA zbog izbora novog direktora preduzeća Vodovod i kanalizacija u Sarajevu,"Kadrovska komisija Kantonalnog odbora Stranke demokratske akcije odlučila je da će kandidat za direktora Vodovoda i kanalizacije Sarajevo biti Ferid Šabotić. Azra Muzur, koja je ranije bila kandidatkinja za ovu poziciju, je negodovala zbog odluke ukazavši i na to da on nije prošao sve potrebne procedure.",02.09.2020. u 20:20
117,"""ViK će biti procesuiran""","Oglasili se iz ""Hotela Ilidža"": Netačno je da smo ViK-u onemogućili ulazak, ovo je političko reketiranje","Nakon što je KJKP ""Vodovod i kanalizacija"" Sarajevo isključio ""Hotele Ilidža"" sa sistema vodosnabdijevanja oglasila se uprava ovog hotela kazavši da su neki navodi ove institucije netačni.",25.08.2020. u 17:10
118,Ne mogu očitati dug,"ViK isključio vodu ""Hotelima Ilidža"": Nismo mogli trpjeti kabadahijsko ponašanje","KJKP ""Vodovod i kanalizacija"" Sarajevo je danas isključio ""Hotele Ilidža"" sa vodosnabdijevanja, a što je ranije naložio Kantonalni sud zbog niza nepravilnosti u korištenju vodovodne mreže.",25.08.2020. u 11:40
119,Sud donio rješenje,"ViK će isključiti vodu objektima ""Hotela Ilidža"" ako ne pristanu na izmirenje dugova","Kantonalni sud u Sarajevu donio je Rješenje u kojem je naloženo KJKP ""Vodovodu i kanalizaciji"" (ViK) da isključi objekte hotela HBRD ""Hoteli Ilidža"" iz vodosnabdijevanja.",21.08.2020. u 15:34
120,BiH,Ilidža: Posljednji mjesec nije bilo eksploatacije šljunka i odlaganja otpada kod Sokolović Kolonije,"Sredinom prošlog mjeseca ukazali smo na nezakonitu eksploataciju šljunka i odlaganje otpada na obalama rijeke Željeznice u blizini ilidžanskih naselja Sokolović Kolonija, Butmir i Hrasnica. Mjesec poslije, prema navodima mještanina Fahrudina Budnje, eksploatacija šljunka i odlaganje otpada se više ne vrše u blizini Sokolović Kolonije.",29.07.2020. u 09:01
121,Odluka Vlade KS,"Smjene u sarajevskom Vodovodu: Razriješen Kemal Ademović (NiP) i NO, na redu je i direktor","Aktuelna kantonalna vlast koju čine SDA, SBB i DF nastavila je sa smjenama u upravljačkim strukturama javnih preduzeća te je prije nekoliko dana smijenjen kompletan Nadzorni odbor Vodovoda i kanalizacije (ViK).",25.07.2020. u 14:39
122,Oglasila se Općina Centar,"Stepenište kod sarajevske ulice Borak veliki problem za građane, čeka se rekonstrukcija",Stepenište u sarajevskoj ulici Borak je veliki problem građanima ovog dijela glavnog grada. Posebno je problem onima koji imaju poteškoće u hodanju. Općinu Centar smo pitali kada će početi dugo očekivana rekonstrukcija ovog stepeništa.,25.07.2020. u 07:11
123,Potpisan ugovor,Općina Novo Sarajevo i ViK rekonstruiraju vodovodnu mrežu u Pofalićima,"Općinski načelnik Nedžad Koldžo i direktor KJKP ""Vodovod i kanalizacija“ Enver Hadžiahmetović potpisali su Ugovor o međusobnim odnosima prilikom realizacije projekta izgradnje vodovodne mreže u dijelu ulica Ruđera Boškovića-Humska.",17.07.2020. u 15:13
124,Pitanje kanalizacije,"Problemi i strah od zaraze kod mještana Nahorevske ulice u Sarajevu, reagirao i ViK","Stanovnici Nahorevske ulice u sarajevskoj općini Centar strahuju od izbijanja zarazne bolesti zbog toga što je, kako nam je rečeno, neko kanalizaciju priključio na kanal za oborinske vode. Kako nam je kazano, danima su trpjeli nesnosan smrad. U međuvremenu su reagirali iz preduzeća Vodovod i kanalizacija (ViK).",17.07.2020. u 07:13
125,Oglasile se i inspekcije,Agencija za vodno područje Save: Eksploatacija šljunka na obalama Željeznice je bespravna,"Ukoliko se na obalama rijeke Željeznice vrši eksploatacija šljunka, onda je to bespravno - poručili su iz Agencije za vodno područje rijeke Save u izjavi za Klix.ba. Reagovali su i iz Federalne uprave za inspekcijske poslove (FUZIP) i Kantonalne uprave za inspekcijske poslove (KUIP) na navod općinskog vijećnika SDP-a na Ilidži Samira Avdića da je eskploatacija nezakonita. Ilidžanski načelnik Senaid Memić je ranije poručio da je, kako je naveo, najmanje 30 puta pozivao inspekciju da obustavi eksploataciju.",01.07.2020. u 08:25
126,,"Sarajevo: Tokom pandemije koronavirusa ViK-u smanjen priliv sredstava za 2,3 miliona KM","Sarajevsko preduzeće Vodovod i kanalizacija (ViK) predstavilo je rezultate poslovanja u 2019. godini. Između ostalog, objavljeni su i podaci koji se odnose na rad preduzeća tokom pandemije koronavirusa.",30.06.2020. u 11:29
127,Alarmantni podaci,U izvorištima vode za piće u Sarajevu otkrivena velika koncentracija arsena i sulfata,"KJKP ViK je obavijestio Vladu Kantona Sarajevo 13. aprila ove godine, kao i Agenciju za vodno područje rijeke Save te Kantonalnu upravu za inspekcijske poslove o ispuštanju otpadnih voda bez tretmana direktno u rijeku Željeznicu.",18.05.2020. u 12:05
128,Obiman dnevni red,"Skupština KS sutra o 23 izvještaja o radu: Toplane, ViK, Rad, Sarajevogas, Tužilaštvo KS...","Skupština Kantona Sarajevo na sutrašnjoj sjednici će razmatrati čak 23 izvještaja o poslovanju i radu javnih preduzeća, ustanova i institucija.",17.05.2020. u 19:35
129,Iščekujući pravdu,"Azra Muzur imenovana u Skupštinu ViK-a, direktor Hadžiahmetović se požalio na sukob interesa","Vlada Kantona Sarajevo imenovala je Azru Muzur u Skupštinu KJKP Vodovod i kanalizacija, zbog čega se požalio aktuelni direktor tog preduzeća Enver Hadžiahmetović poručivši: ""Ovo je sukob interesa!"" Bivša direktorica ViK-a Azra Muzur tvrdi suprotno, da nema nikakvog sukoba interesa.",20.04.2020. u 22:38
130,,Domaćinstva u Kantonu Sarajevo u martu potrošila nešto više vode nego u februaru,"S obzirom na to da je održavanje higijene i redovno pranje ruku jedna od efikasnijih mjera protiv zaraze koronavirusom, kontaktirali smo preduzeće Vodovod i kanalizacija gdje su nam rekli da je potrošnja vode u Kantonu Sarajevo bila nešto veća u martu u odnosu na februar.",14.04.2020. u 15:49
131,Kanton Sarajevo,Oko 70 radnika ViK-a ostalo bez posla nakon isteka ugovora: Ko ih je zaposlio i ko je odgovoran?,"Oko 70 radnika KJKP Vodovod i kanalizacija Sarajevo, koji su bili zaposleni u vrijeme bivše direktorice Azre Muzur, ostalo je bez posla nakon što su im istekli ugovori, a nisu primljeni na posljednjem konkursu. Novu upravu su optužili za malverzacije u zapošljavanju te da su zaposlili ljude bez iskustva. Uprava to negira.",06.03.2020. u 09:38
132,Građani negoduju,Nekoliko sarajevskih naselja čitav dan bez vode zbog polaganja cjevovoda na Marijin Dvoru,Zbog radova na uvezivanju novopoloženog transportnog cjevovoda u ulici Kranjčevićeva na Marijin Dvoru u Sarajevu što je uzrokovalo prekide u vodosnabdijevanju u nekoliko sarajevskih naselja.,27.02.2020. u 21:32
